"ID","p","n","q"
1,0.019394664,24,1
2,0.001173471,24,1
3,0.030449585,25,1
4,0.00141669,240,1
5,0.00689115,32,1
6,0.001706566,24,1
7,2.22044604925031e-16,100,1
8,0.000200441,48,1
9,2.22044604925031e-16,118,6
10,1.76e-05,32,1
11,0.000443918,22,1
12,0.048407105,48,2
13,1.59e-12,36,2
14,1.5e-07,19,2
15,0.028373705,95,1
16,0.005585769,42,2
17,0.000405826,39,2
18,0.029261311,80,1
19,0.000692486,32,1
20,0.028172412,96,1
22,0.002218001,18,3
24,3.54e-06,154,1
25,6.83e-05,24,3
26,0.117205428,16,1
27,0.030057008,32,1
28,0.051569634,32,1
29,0.023249789,8,1
30,0.000519937,26,1
31,3.26e-06,24,1
32,2.91e-05,37,1
33,0.000541079,40,1
35,3.93e-09,48,1
36,0.000190422,24,1
37,0.05088911,12,1
40,0.554372267,24,1
41,0.045782735,72,1
43,0.000146111,67,2
44,0.003000884,70,1
46,2.22044604925031e-16,230047,21
48,0.028875522,100,1
49,0.022889441,36,1
50,0.015520906,98,2
52,0.017513309,133,1
53,0.030503191,48,1
54,2.62e-05,41,5
55,0.049036287,57,2
56,9.23e-05,103,1
57,0.032188467,55,1
58,0.023221684,186,1
61,0.021121432,110,1
62,0.046042837,47,3
63,0.021711499,71,1
64,3.81e-08,82,2
65,0.003830676,45,1
67,0.075463183,251,1
68,0.043910406,122,1
70,0.026571937,64,1
71,1.41e-05,375,1
72,0.000773087,261,1
73,0.049745991,37,1
76,6.38e-06,196,1
77,0.001382678,246,1
79,0.041425181,63,1
80,0.044070981,46,2
81,0.009719762,94,1
82,0.033841139,50,41
84,0.000282953,52,1
86,0.02102091,85,2
87,0.003371756,55,1
88,0.033382483,153,1
89,0.477948177,163,1
91,0.00059829,116,1
92,0.00933879,81,1
93,0.003071238,91,1
94,0.036392019,28,1
95,0.01868282,41,1
96,0.003107906,49,1
97,0.000819277,90,1
99,0.012738074,104,1
100,0.000857784,42,1
102,8.06e-05,28,1
103,0.014277405,146,2
104,0.050342933,236,1
105,0.00386326,42,1
106,0.021595498,36,1
107,0.039641746,86,1
109,0.034799408,38,1
110,2.22044604925031e-16,280,1
111,0.011256115,59,1
112,0.016232104,141,1
113,2.22044604925031e-16,126,1
114,0.000647885,32,1
115,0.00292708,32,1
116,0.000118,173,1
117,2.22044604925031e-16,12,18
118,0.023051359,115,1
119,9.77e-13,48,1
121,0.00021998,12,1
122,0.02809598,8,1
123,2.22044604925031e-16,4,1
124,0.02067727,36,1
126,2.22044604925031e-16,3412,33
127,2.93e-05,32,1
129,0.051411614,28,1
132,0.002850691,25,3
133,0.025570456,24,1
134,0.023,119,1
135,0.912448643,684,1
136,0.005086904,30,1
138,5.28e-05,90,2
139,0.002712614,4,3
140,0.009205933,84,2
141,0.047127477,100,1
142,2.22044604925031e-16,82,2
143,0.007654847,57,4
145,2.22044604925031e-16,80,1
146,0.006420541,30,1
147,0.010189448,37,1
148,0.008092031,208,1
149,0.008092031,208,1
150,0.002344469,14,1
151,0.007866967,43,1
153,0.002971641,8,1
156,0.937803018,20,1
157,0.020787407,27,1
158,0.017182464,40,1
159,7.2e-05,20,1
160,0.017775393,268,1
161,0.000665379,48,1
162,0.000987739,133,1
164,0.009931447,12,1
165,0.033697241,56,1
167,0.007169828,18,1
